"id";"name";"nation";"position";"Squad";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"Matches"
1;Oliver Abildgaard\Oliver-Abildgaard;dk DEN;MF;Rubin Kazan;23;1996;1;1;62;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
2;Luiz Adriano\Luiz-Adriano;br BRA;FW;Spartak Moscow;32;1987;3;3;259;1;0;1;1;1;0;0.35;0.00;0.35;0.00;0.00;Matches
3;Guram Adzhoyev\Guram-Adzhoyev;ru RUS;FW;Arsenal Tula;24;1995;1;0;4;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
4;Vadim Afonin\Vadim-Afonin;uz UZB;MFDF;Orenburg;31;1987;10;5;537;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
5;Gamid Agalarov\Gamid-Agalarov;ru RUS;FW;Ufa;19;2000;1;0;21;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
6;Roman Akbashev\Roman-Akbashev;ru RUS;MF;Rubin Kazan;27;1991;1;0;14;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
7;Ilzat Akhmetov\Ilzat-Akhmetov;ru RUS;MF;CSKA Moscow;21;1997;20;16;1356;2;1;0;0;3;0;0.13;0.07;0.20;0.13;0.20;Matches
8;Igor Akinfeev\Igor-Akinfeev;ru RUS;GK;CSKA Moscow;33;1986;20;20;1800;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
9;Pavel Alikin\Pavel-Alikin;ru RUS;DF;Ufa;35;1984;6;4;381;1;0;0;0;1;0;0.24;0.00;0.24;0.24;0.24;Matches
10;Azer Aliyev\Azer-Aliyev;ru RUS;DFMF;Ufa;25;1994;12;11;970;1;1;0;0;0;0;0.09;0.09;0.19;0.09;0.19;Matches
11;Víctor Álvarez\Victor-Alvarez;es ESP;DFMF;Arsenal Tula;26;1993;18;18;1545;1;1;0;0;6;0;0.06;0.06;0.12;0.06;0.12;Matches
12;Jano Ananidze\Jano-Ananidze;ge GEO;MF;Spartak Moscow;26;1992;6;4;325;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
13;Aleksei Anatolyevich Kozlov\Aleksei-Anatolyevich-Kozlov;ru RUS;DF;Rostov;32;1986;20;20;1785;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;Matches
14;Wilker Ángel\Wilker-Angel;ve VEN;DF;Akhmat Grozny;26;1993;16;15;1306;1;0;0;0;3;0;0.07;0.00;0.07;0.07;0.07;Matches
15;Paul Anton\Paul-Anton;ro ROU;MF;Samara;28;1991;11;10;787;2;1;1;1;2;0;0.23;0.11;0.34;0.11;0.23;Matches
16;Aleksandr Anyukov\Aleksandr-Anyukov;ru RUS;DF;Samara;36;1982;16;16;1303;0;0;0;0;4;1;0.00;0.00;0.00;0.00;0.00;Matches
17;Khyzyr Appayev\Khyzyr-Appayev;ru RUS;FWMF;Tambov;29;1990;13;7;712;0;1;0;0;2;0;0.00;0.13;0.13;0.00;0.13;Matches
18;Ari\Ari;ru RUS;FW;Krasnodar;33;1985;16;16;1369;5;4;2;4;4;0;0.33;0.26;0.59;0.20;0.46;Matches
19;Rafał Augustyniak\Rafal-Augustyniak;pl POL;MF;Ural;25;1993;20;19;1727;1;2;0;0;2;0;0.05;0.10;0.16;0.05;0.16;Matches
20;Timur Ayupov\Timur-Ayupov;ru RUS;MFDF;Orenburg;26;1993;15;13;1204;0;0;0;0;8;0;0.00;0.00;0.00;0.00;0.00;Matches
21;Abdul Aziz Tetteh\Abdul-Aziz-Tetteh;gh GHA;MF;Dynamo Mosc;29;1990;3;1;140;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
22;Sardar Azmoun\Sardar-Azmoun;ir IRN;FW;Zenit;24;1995;19;18;1515;7;5;1;2;3;0;0.42;0.30;0.71;0.36;0.65;Matches
23;Yegor Baburin\Yegor-Baburin;ru RUS;GK;Rostov;25;1993;12;12;1080;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
24;Soltmurad Bakaev\Soltmurad-Bakaev;ru RUS;MF;Rubin Kazan;19;1999;1;0;22;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
25;Soltmurad Bakaev\Soltmurad-Bakaev;ru RUS;MF;Spartak Moscow;19;1999;2;0;16;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
26;Zelimkhan Bakayev\Zelimkhan-Bakayev;ru RUS;MF;Spartak Moscow;23;1996;18;17;1496;4;8;1;1;6;0;0.24;0.48;0.72;0.18;0.66;Matches
27;Akmal Bakhtiyarov\Akmal-Bakhtiyarov;kz KAZ;FW;Sochi;21;1998;2;0;26;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
28;Oleg Baklov\Oleg-Baklov;ru RUS;GK;Ural;24;1994;3;3;270;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
29;Lameck Banda\Lameck-Banda;zm ZAM;FW;Arsenal Tula;18;2001;5;1;95;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
30;Dmitri Barinov\Dmitri-Barinov;ru RUS;MF;Loko Moscow;22;1996;17;17;1530;1;0;0;0;7;0;0.06;0.00;0.06;0.06;0.06;Matches
31;Wílmar Barrios\Wilmar-Barrios;co COL;MF;Zenit;25;1993;19;18;1615;1;1;0;0;5;0;0.06;0.06;0.11;0.06;0.11;Matches
32;Yevgeni Bashkirov\Yevgeni-Bashkirov;ru RUS;MF;Rubin Kazan;28;1991;11;8;654;1;1;0;0;4;1;0.14;0.14;0.28;0.14;0.28;Matches
33;Robert Bauer\Robert-Bauer;de GER;DFMF;Arsenal Tula;24;1995;13;11;1035;1;1;0;0;2;0;0.09;0.09;0.17;0.09;0.17;Matches
34;Yuri Bavin\Yuri-Bavin;ru RUS;MF;Ural;25;1994;14;5;532;3;1;0;0;1;0;0.51;0.17;0.68;0.51;0.68;Matches
35;Khoren Bayramyan\Khoren-Bayramyan;ru RUS;MFFW;Rostov;27;1992;18;17;1321;4;4;0;0;3;0;0.27;0.27;0.55;0.27;0.55;Matches
36;Aleksandr Belenov\Aleksandr-Belenov;ru RUS;GK;Ufa;32;1986;18;18;1620;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;Matches
37;Maksim Belyayev\Maksim-Belyayev;ru RUS;DF;Arsenal Tula;27;1991;20;20;1800;0;1;0;0;1;0;0.00;0.05;0.05;0.00;0.05;Matches
38;Marcus Berg\Marcus-Berg;se SWE;FW;Krasnodar;32;1986;15;7;701;5;0;0;0;3;1;0.64;0.00;0.64;0.64;0.64;Matches
39;Bernard Berisha\Bernard-Berisha;xk KVX;MFFW;Akhmat Grozny;27;1991;16;13;1096;2;0;0;1;4;0;0.16;0.00;0.16;0.16;0.16;Matches
40;Kantemir Berkhamov\Kantemir-Berkhamov;ru RUS;FW;Arsenal Tula;30;1988;1;1;64;1;0;0;0;0;0;1.41;0.00;1.41;1.41;1.41;Matches
41;Eric Bicfalvi\Eric-Bicfalvi;ro ROU;MF;Ural;31;1988;17;15;1339;5;0;1;1;2;0;0.34;0.00;0.34;0.27;0.27;Matches
42;Jaka Bijol\Jaka-Bijol;si SVN;MFFW;CSKA Moscow;20;1999;17;4;503;1;1;0;0;3;1;0.18;0.18;0.36;0.18;0.36;Matches
43;Kristijan Bistrović\Kristijan-Bistrovic;hr CRO;MF;CSKA Moscow;21;1998;20;12;1082;1;2;0;0;3;0;0.08;0.17;0.25;0.08;0.25;Matches
44;Lovro Bizjak\Lovro-Bizjak;si SVN;FW;Ufa;25;1993;17;8;911;2;1;1;1;1;0;0.20;0.10;0.30;0.10;0.20;Matches
45;Miroslav Bogosavac\Miroslav-Bogosavac;rs SRB;DF;Akhmat Grozny;22;1996;1;1;90;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
46;Petrus Boumal\Petrus-Boumal;cm CMR;MF;Ural;26;1993;9;7;631;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;Matches
47;Taras Burlak\Taras-Burlak;ru RUS;DF;Samara;29;1990;5;5;450;1;0;0;0;0;0;0.20;0.00;0.20;0.20;0.20;Matches
48;Nikita Burmistrov\Nikita-Burmistrov;ru RUS;MF;Sochi;30;1989;17;14;1129;0;2;0;0;4;0;0.00;0.16;0.16;0.00;0.16;Matches
49;Rémy Cabella\Remy-Cabella;fr FRA;MFFW;Krasnodar;29;1990;2;2;146;0;1;0;0;2;0;0.00;0.62;0.62;0.00;0.62;Matches
50;Miguel Filipe Nunes Cardoso\Miguel-Filipe-Nunes-Cardoso;pt POR;MF;Tambov;25;1994;1;0;5;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
51;Miguel Filipe Nunes Cardoso\Miguel-Filipe-Nunes-Cardoso;pt POR;MF;Dynamo Mosc;25;1994;6;3;273;1;0;0;0;1;0;0.33;0.00;0.33;0.33;0.33;Matches
52;Cătălin Carp\Catalin-Carp;md MDA;MF;Ufa;25;1993;18;18;1596;1;0;0;0;5;0;0.06;0.00;0.06;0.06;0.06;Matches
53;Goran Čaušić\Goran-Causic;rs SRB;MF;Arsenal Tula;27;1992;13;13;1118;2;1;0;0;1;0;0.16;0.08;0.24;0.16;0.24;Matches
54;Fiodor Černych\Fiodor-Cernych;lt LTU;MFFW;Orenburg;28;1991;6;2;231;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
55;Murilo Cerqueira\Murilo-Cerqueira;br BRA;DFMF;Loko Moscow;22;1997;17;14;1244;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
56;Fyodor Chalov\Fyodor-Chalov;ru RUS;FW;CSKA Moscow;21;1998;20;20;1760;5;2;1;3;2;0;0.26;0.10;0.36;0.20;0.31;Matches
57;Andrei Chasovskikh\Andrei-Chasovskikh;ru RUS;FW;Tambov;28;1991;3;0;39;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
58;Aleksandr Chernikov\Aleksandr-Chernikov;ru RUS;MF;Krasnodar;19;2000;1;1;45;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
59;Aleksei Chernov\Aleksei-Chernov;ru RUS;GK;Ufa;21;1998;2;2;180;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
60;Nikita Chernov\Nikita-Chernov;ru RUS;DF;Samara;23;1996;16;16;1440;1;0;0;0;4;0;0.06;0.00;0.06;0.06;0.06;Matches
61;Yevgeni Chernov\Yevgeni-Chernov;ru RUS;DF;Rostov;26;1992;20;20;1800;0;2;0;0;1;0;0.00;0.10;0.10;0.00;0.10;Matches
62;Oleg Chernyshov\Oleg-Chernyshov;ru RUS;MF;Tambov;32;1986;8;2;215;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
63;Nikita Chicherin\Nikita-Chicherin;ru RUS;DF;Samara;28;1990;1;0;14;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
64;Dmitri Chistyakov\Dmitri-Chistyakov;ru RUS;DF;Rostov;25;1994;18;18;1533;1;0;0;0;4;0;0.06;0.00;0.06;0.06;0.06;Matches
65;Andrea Chukanov\Andrea-Chukanov;ru RUS;DFMF;Orenburg;23;1995;10;4;402;0;1;0;0;0;0;0.00;0.22;0.22;0.00;0.22;Matches
66;Valeriu Ciupercă\Valeriu-Ciuperca;md MDA;MF;Tambov;27;1992;16;13;1185;0;2;0;0;8;3;0.00;0.15;0.15;0.00;0.15;Matches
67;Vedran Ćorluka\Vedran-Corluka;hr CRO;DF;Loko Moscow;33;1986;19;19;1660;0;0;0;0;5;0;0.00;0.00;0.00;0.00;0.00;Matches
68;Oleh Danchenko\Oleh-Danchenko;ua UKR;DF;Rubin Kazan;24;1994;17;17;1428;0;2;0;0;3;0;0.00;0.13;0.13;0.00;0.13;Matches
69;Zuriko Davitashvili\Zuriko-Davitashvili;ge GEO;MF;Rubin Kazan;18;2001;16;15;1235;1;0;0;0;4;0;0.07;0.00;0.07;0.07;0.07;Matches
70;Aleksandr Denisov\Aleksandr-Denisov;ru RUS;DFMF;Arsenal Tula;30;1989;7;6;516;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;Matches
71;Vitaliy Denisov\Vitaliy-Denisov;uz UZB;DF;Rubin Kazan;32;1987;8;7;597;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
72;Đorđe Despotović\Djordje-Despotovic;rs SRB;FW;Orenburg;27;1992;17;17;1497;6;0;1;2;5;0;0.36;0.00;0.36;0.30;0.30;Matches
73;Nikolay Dimitrov\Nikolay-Dimitrov;bg BUL;MF;Ural;31;1987;16;13;1014;1;5;0;0;1;0;0.09;0.44;0.53;0.09;0.53;Matches
74;Igor Diveev\Igor-Diveev;ru RUS;DF;CSKA Moscow;19;1999;17;17;1485;0;1;0;0;4;0;0.00;0.06;0.06;0.00;0.06;Matches
75;Aleksandr Dolgov\Aleksandr-Dolgov;ru RUS;FW;Rostov;20;1998;8;0;37;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
76;Aleksandr Dovbnya\Aleksandr-Dovbnya;ru RUS;GK;Orenburg;32;1987;6;5;450;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
77;Sebastián Driussi\Sebastian-Driussi;ar ARG;MFFW;Zenit;23;1996;16;15;1201;1;1;1;1;1;0;0.07;0.07;0.15;0.00;0.07;Matches
78;Yuri Dyupin\Yuri-Dyupin;ru RUS;GK;Rubin Kazan;31;1988;20;20;1800;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
79;Alan Dzagoev\Alan-Dzagoev;ru RUS;MFFW;CSKA Moscow;29;1990;5;3;253;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
80;Soslan Dzhanayev\Soslan-Dzhanayev;ru RUS;GK;Sochi;32;1987;14;14;1260;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
81;Georgi Dzhikiya\Georgi-Dzhikiya;ru RUS;DF;Spartak Moscow;25;1993;18;18;1612;1;0;0;0;5;1;0.06;0.00;0.06;0.06;0.06;Matches
82;Artem Dzyuba\Artem-Dzyuba;ru RUS;FW;Zenit;30;1988;19;17;1553;11;9;3;3;1;0;0.64;0.52;1.16;0.46;0.99;Matches
83;Éder\Eder;pt POR;FW;Loko Moscow;31;1987;14;11;999;4;0;0;0;2;0;0.36;0.00;0.36;0.36;0.36;Matches
84;Danila Emelyanov\Danila-Emelyanov;ru RUS;MF;Ufa;19;2000;9;6;504;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
85;Roman Eremenko\Roman-Eremenko;fi FIN;MF;Rostov;32;1987;15;14;1305;3;3;1;1;4;0;0.21;0.21;0.41;0.14;0.34;Matches
86;Aleksandr Erokhin\Aleksandr-Erokhin;ru RUS;MFFW;Zenit;29;1989;16;7;665;2;0;0;0;2;0;0.27;0.00;0.27;0.27;0.27;Matches
87;Joel Fameyeh\Joel-Fameyeh;gh GHA;MFFW;Orenburg;22;1997;16;6;616;3;0;0;0;0;0;0.44;0.00;0.44;0.44;0.44;Matches
88;Manuel Fernandes\Manuel-Fernandes;pt POR;MFFW;Krasnodar;33;1986;7;5;385;1;0;0;0;0;0;0.23;0.00;0.23;0.23;0.23;Matches
89;Mário Fernandes\Mario-Fernandes;ru RUS;MF;CSKA Moscow;28;1990;20;20;1800;3;2;0;0;2;0;0.15;0.10;0.25;0.15;0.25;Matches
90;Fernando\Fernando;br BRA;MF;Spartak Moscow;27;1992;3;3;270;0;2;0;0;1;0;0.00;0.67;0.67;0.00;0.67;Matches
91;Artyom Fidler\Artyom-Fidler;ru RUS;MF;Ural;36;1983;7;6;472;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;Matches
92;Oleksandr Filin\Oleksandr-Filin;ru RUS;DF;Tambov;23;1996;1;1;90;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
93;Daniil Fomin\Daniil-Fomin;ru RUS;MF;Ufa;22;1997;19;19;1710;3;0;1;1;5;0;0.16;0.00;0.16;0.11;0.11;Matches
94;Evgenii Frolov\Evgenii-Frolov;ru RUS;GK;Samara;31;1988;1;1;90;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
95;Evgenii Frolov\Evgenii-Frolov;ru RUS;GK;Sochi;31;1988;1;1;90;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
96;Artyom Galadzhan\Artyom-Galadzhan;ru RUS;FW;Orenburg;21;1998;4;0;42;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
97;Ilya Gaponov\Ilya-Gaponov;ru RUS;DF;Spartak Moscow;21;1997;1;1;90;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
98;Mikhail Gashchenkov\Mikhail-Gashchenkov;ru RUS;DFMF;Akhmat Grozny;27;1992;6;3;287;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
99;Alexandru Gațcan\Alexandru-Gatcan;md MDA;MF;Samara;35;1984;16;15;1248;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;Matches
100;Alexandru Gațcan\Alexandru-Gatcan;md MDA;MF;Rostov;35;1984;1;0;2;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
101;Yuri Gazinskiy\Yuri-Gazinskiy;ru RUS;MF;Krasnodar;30;1989;3;2;213;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
102;Roland Gigolayev\Roland-Gigolayev;ru RUS;DF;Akhmat Grozny;29;1990;6;6;505;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
103;Samuel Gigot\Samuel-Gigot;fr FRA;DF;Spartak Moscow;25;1993;17;17;1530;4;0;0;0;4;0;0.24;0.00;0.24;0.24;0.24;Matches
104;Radu Gînsari\Radu-Ginsari;md MDA;MF;Samara;27;1991;10;7;586;1;0;0;0;2;0;0.15;0.00;0.15;0.15;0.15;Matches
105;Nikolai Giorgobiani\Nikolai-Giorgobiani;ru RUS;MF;Ufa;22;1997;10;4;355;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
106;Danil Glebov\Danil-Glebov;ru RUS;MF;Rostov;19;1999;11;7;589;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;Matches
107;Denis Glushakov\Denis-Glushakov;ru RUS;MF;Akhmat Grozny;32;1987;15;14;1147;1;0;0;0;3;0;0.08;0.00;0.08;0.08;0.08;Matches
108;Maksim Glushenkov\Maksim-Glushenkov;ru RUS;MF;Samara;20;1999;1;0;7;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
109;Maksim Glushenkov\Maksim-Glushenkov;ru RUS;MF;Spartak Moscow;20;1999;1;0;;0;0;0;0;0;0;;;;;;Matches
110;Cèdric Gogoua\Cedric-Gogoua;ci CIV;DF;Tambov;25;1994;5;5;450;2;0;0;0;2;0;0.40;0.00;0.40;0.40;0.40;Matches
111;Cèdric Gogoua\Cedric-Gogoua;ci CIV;DF;CSKA Moscow;25;1994;4;3;183;1;0;0;0;1;0;0.49;0.00;0.49;0.49;0.49;Matches
112;Yegor Golenkov\Yegor-Golenkov;ru RUS;FW;Samara;20;1999;6;0;67;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
113;Artem Golubev\Artem-Golubev;ru RUS;MF;Ufa;20;1999;10;3;367;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
114;Igor Gorbatenko\Igor-Gorbatenko;ru RUS;MFFW;Arsenal Tula;30;1989;18;16;1445;1;2;0;0;2;0;0.06;0.12;0.19;0.06;0.19;Matches
115;Yevgeni Gorodov\Yevgeni-Gorodov;ru RUS;GK;Akhmat Grozny;33;1985;16;16;1440;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
116;Gia Grigalava\Gia-Grigalava;ge GEO;DF;Arsenal Tula;29;1989;18;18;1620;1;0;0;0;6;0;0.06;0.00;0.06;0.06;0.06;Matches
117;Aleksei Gritsayenko\Aleksei-Gritsayenko;ru RUS;DF;Tambov;24;1995;11;11;990;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
118;Vyacheslav Grulyov\Vyacheslav-Grulyov;ru RUS;FW;Dynamo Mosc;20;1999;10;2;268;0;1;0;0;0;0;0.00;0.34;0.34;0.00;0.34;Matches
119;Vitali Gudiyev\Vitali-Gudiyev;ru RUS;GK;Akhmat Grozny;24;1995;4;4;360;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
120;Ayaz Guliyev\Ayaz-Guliyev;ru RUS;MF;Spartak Moscow;22;1996;11;8;644;0;0;0;0;5;0;0.00;0.00;0.00;0.00;0.00;Matches
121;Edi Gutliv\Edi-Gutliv;il ISR;DF;Orenburg;26;1992;2;2;118;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
122;Jón Guðni Fjóluson\Jon-Gudni-Fjoluson;is ISL;DF;Krasnodar;30;1989;9;8;720;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
123;Dennis Hadzikadunic\Dennis-Hadzikadunic;se SWE;DF;Rostov;21;1998;10;9;825;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;Matches
124;Varazdat Haroyan\Varazdat-Haroyan;am ARM;DF;Ural;26;1992;17;17;1524;1;1;0;0;7;0;0.06;0.06;0.12;0.06;0.12;Matches
125;Oscar Hiljemark\Oscar-Hiljemark;se SWE;MF;Dynamo Mosc;27;1992;5;1;199;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
126;Yaroslav Hodzyur\Yaroslav-Hodzyur;ua UKR;GK;Ural;34;1985;17;17;1530;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
127;Benedikt Höwedes\Benedikt-Howedes;de GER;DF;Loko Moscow;31;1988;16;16;1384;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
128;Brian Idowu\Brian-Idowu;ng NGA;DF;Loko Moscow;27;1992;7;3;283;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
129;Sylvester Igboun\Sylvester-Igboun;ng NGA;FW;Dynamo Mosc;28;1990;11;11;954;2;0;0;0;3;0;0.19;0.00;0.19;0.19;0.19;Matches
130;Sylvester Igboun\Sylvester-Igboun;ng NGA;MFFW;Ufa;28;1990;6;6;483;2;0;0;0;1;0;0.37;0.00;0.37;0.37;0.37;Matches
131;Mikhail Ignatov\Mikhail-Ignatov;ru RUS;MF;Spartak Moscow;19;2000;1;0;25;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
132;Ivan Ignatyev\Ivan-Ignatyev;ru RUS;FW;Krasnodar;20;1999;13;5;528;4;0;0;1;1;0;0.68;0.00;0.68;0.68;0.68;Matches
133;Ivan Ignatyev\Ivan-Ignatyev;ru RUS;FW;Rubin Kazan;20;1999;1;1;90;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
134;Vladislav Ignatyev\Vladislav-Ignatyev;ru RUS;DFMF;Loko Moscow;32;1987;15;15;1305;1;1;0;0;8;0;0.07;0.07;0.14;0.07;0.14;Matches
135;Vladimir Ilyin\Vladimir-Ilyin;ru RUS;FWMF;Ural;27;1992;18;11;1214;4;1;0;0;4;0;0.30;0.07;0.37;0.30;0.37;Matches
136;Vladimir Ilyin\Vladimir-Ilyin;ru RUS;FW;Akhmat Grozny;27;1992;1;1;90;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
137;Aleksei Ionov\Aleksei-Ionov;ru RUS;MFFW;Rostov;30;1989;19;19;1596;5;7;0;1;0;0;0.28;0.39;0.68;0.28;0.68;Matches
138;Oleg Ivanov\Oleg-Ivanov;ru RUS;MFFW;Akhmat Grozny;32;1986;18;16;1461;0;1;0;0;4;0;0.00;0.06;0.06;0.00;0.06;Matches
139;Branislav Ivanović\Branislav-Ivanovic;rs SRB;DF;Zenit;35;1984;20;20;1771;3;0;0;0;4;0;0.15;0.00;0.15;0.15;0.15;Matches
