Squad;# Pl;Age;Poss;Playing Time-MP;Playing Time-Starts;Playing Time-Min;Playing Time-90s;Performance-Gls;Performance-Ast;Performance-G-PK;Performance-PK;Performance-PKatt;Performance-CrdY;Performance-CrdR;Per 90 Minutes-Gls;Per 90 Minutes-Ast;Per 90 Minutes-G+A;Per 90 Minutes-G-PK;Per 90 Minutes-G+A-PK;Expected-xG;Expected-npxG;Expected-xA;Expected-npxG+xA;Per 90 Minutes-xG;Per 90 Minutes-xA;Per 90 Minutes-xG+xA;Per 90 Minutes-npxG;Per 90 Minutes-npxG+xA;
nl Ajax;16;26.4;62.5;2;22;180;2.0;7;7;7;0;0;3;0;3.50;3.50;7.00;3.50;7.00;6.8;6.8;5.0;11.8;3.39;2.49;5.88;3.39;5.88
it Atalanta;19;28.4;58.0;2;22;180;2.0;3;3;3;0;0;2;0;1.50;1.50;3.00;1.50;3.00;3.3;3.3;3.2;6.5;1.66;1.58;3.24;1.66;3.24
es Atlético Madrid;17;28.3;60.0;2;22;180;2.0;2;1;1;1;1;4;0;1.00;0.50;1.50;0.50;1.00;2.5;1.7;1.6;3.3;1.24;0.78;2.02;0.87;1.65
es Barcelona;19;25.9;54.0;2;22;180;2.0;0;0;0;0;0;6;1;0.00;0.00;0.00;0.00;0.00;1.5;1.5;1.5;3.0;0.75;0.75;1.50;0.75;1.50
de Bayern Munich;18;27.1;58.0;2;22;180;2.0;8;6;7;1;1;3;0;4.00;3.00;7.00;3.50;6.50;4.7;3.9;2.9;6.8;2.34;1.43;3.77;1.96;3.39
pt Benfica;19;27.8;54.0;2;22;180;2.0;3;1;2;1;1;7;0;1.50;0.50;2.00;1.00;1.50;3.5;2.8;2.1;5.0;1.77;1.07;2.84;1.41;2.48
tr Beşiktaş;20;27.3;43.5;2;22;180;2.0;1;1;1;0;0;5;0;0.50;0.50;1.00;0.50;1.00;1.5;1.5;1.4;2.8;0.73;0.68;1.41;0.73;1.41
eng Chelsea;18;27.9;69.5;2;22;180;2.0;1;1;1;0;0;4;0;0.50;0.50;1.00;0.50;1.00;1.9;1.9;1.8;3.7;0.93;0.90;1.83;0.93;1.83
be Club Brugge;16;26.3;35.0;2;22;180;2.0;3;3;3;0;0;4;0;1.50;1.50;3.00;1.50;3.00;3.0;3.0;1.9;4.9;1.52;0.96;2.47;1.52;2.47
de Dortmund;19;26.7;50.5;2;22;180;2.0;3;3;3;0;0;4;0;1.50;1.50;3.00;1.50;3.00;3.1;3.1;2.6;5.6;1.53;1.28;2.81;1.53;2.81
ua Dynamo Kyiv;20;26.1;34.5;2;22;180;2.0;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;1.0;1.0;0.5;1.5;0.51;0.25;0.76;0.51;0.76
it Inter;18;28.4;40.5;2;22;180;2.0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;3.3;3.3;1.8;5.1;1.65;0.90;2.55;1.65;2.55
it Juventus;19;28.1;43.5;2;22;180;2.0;4;2;3;1;1;2;0;2.00;1.00;3.00;1.50;2.50;4.1;3.3;2.7;6.1;2.05;1.37;3.43;1.67;3.05
fr Lille;18;26.6;54.0;2;22;180;2.0;1;0;1;0;0;7;0;0.50;0.00;0.50;0.50;0.50;1.7;1.7;0.7;2.4;0.83;0.37;1.20;0.83;1.20
eng Liverpool;19;27.9;64.0;2;22;180;2.0;7;4;7;0;1;1;0;3.50;2.00;5.50;3.50;5.50;6.1;5.4;3.5;8.9;3.07;1.75;4.82;2.68;4.43
se Malmö;19;28.3;42.5;2;22;180;2.0;0;0;0;0;0;4;1;0.00;0.00;0.00;0.00;0.00;1.3;1.3;0.9;2.3;0.66;0.47;1.13;0.66;1.13
eng Manchester City;18;27.3;52.0;2;22;180;2.0;5;2;4;1;1;3;0;2.50;1.00;3.50;2.00;3.00;4.0;3.2;1.9;5.1;1.98;0.93;2.91;1.62;2.55
eng Manchester Utd;20;27.6;51.0;2;22;180;2.0;3;3;3;0;0;4;1;1.50;1.50;3.00;1.50;3.00;2.0;2.0;2.0;3.9;0.99;0.98;1.96;0.99;1.96
it Milan;18;25.0;37.5;2;22;180;2.0;3;2;3;0;0;8;1;1.50;1.00;2.50;1.50;2.50;1.9;1.9;1.3;3.3;0.97;0.67;1.64;0.97;1.64
fr Paris S-G;18;27.9;55.0;2;22;180;2.0;3;2;3;0;0;3;0;1.50;1.00;2.50;1.50;2.50;2.0;2.0;1.7;3.7;1.00;0.83;1.83;1.00;1.83
pt Porto;18;27.1;38.5;2;22;180;2.0;1;1;1;0;0;6;1;0.50;0.50;1.00;0.50;1.00;1.6;1.6;0.5;2.1;0.80;0.27;1.06;0.80;1.06
de RB Leipzig;18;25.8;58.0;2;22;180;2.0;4;4;4;0;0;4;1;2.00;2.00;4.00;2.00;4.00;1.7;1.7;1.6;3.3;0.86;0.79;1.65;0.86;1.65
at RB Salzburg;16;22.9;49.0;2;22;180;2.0;3;0;0;3;5;6;0;1.50;0.00;1.50;0.00;0.00;5.1;1.4;0.8;2.3;2.56;0.42;2.99;0.71;1.13
es Real Madrid;18;27.5;64.5;2;22;180;2.0;2;1;1;1;1;3;0;1.00;0.50;1.50;0.50;1.00;4.4;3.6;3.3;6.9;2.18;1.64;3.82;1.80;3.44
es Sevilla;19;29.6;59.0;2;22;180;2.0;2;0;0;2;2;9;1;1.00;0.00;1.00;0.00;0.00;2.9;1.4;1.2;2.6;1.46;0.61;2.07;0.70;1.31
ua Shakhtar;17;26.5;70.5;2;22;180;2.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;2.1;2.1;1.8;3.9;1.04;0.91;1.95;1.04;1.95
md Sheriff Tiraspol;16;26.1;25.0;2;22;180;2.0;4;4;4;0;0;5;0;2.00;2.00;4.00;2.00;4.00;1.0;1.0;1.0;2.0;0.51;0.48;0.99;0.51;0.99
pt Sporting CP;18;27.7;43.5;2;22;180;2.0;1;1;1;0;0;5;0;0.50;0.50;1.00;0.50;1.00;0.9;0.9;0.7;1.6;0.44;0.37;0.80;0.44;0.80
es Villarreal;20;28.0;46.0;2;22;180;2.0;3;2;3;0;0;9;1;1.50;1.00;2.50;1.50;2.50;3.8;3.8;2.7;6.5;1.92;1.34;3.26;1.92;3.26
de Wolfsburg;16;26.8;38.5;2;22;180;2.0;1;0;1;0;0;13;2;0.50;0.00;0.50;0.50;0.50;1.3;1.3;1.0;2.3;0.67;0.48;1.15;0.67;1.15
ch Young Boys;19;25.3;45.0;2;22;180;2.0;2;1;2;0;0;3;0;1.00;0.50;1.50;1.00;1.50;1.8;1.8;1.2;3.0;0.89;0.60;1.49;0.89;1.49
ru Zenit;16;27.9;44.5;2;22;180;2.0;4;3;4;0;0;1;0;2.00;1.50;3.50;2.00;3.50;2.9;2.9;2.6;5.5;1.47;1.30;2.76;1.47;2.76