Squad;# Pl;Poss;90s;Touches-Touches;Touches-Def Pen;Touches-Def 3rd;Touches-Mid 3rd;Touches-Att 3rd;Touches-Att Pen;Touches-Live;Dribbles-Succ;Dribbles-Att;Dribbles-Succ%;Dribbles-#Pl;Dribbles-Megs;Carries-Carries;Carries-TotDist;Carries-PrgDist;Carries-Prog;Carries-1/3;Carries-CPA;Carries-Mis;Carries-Dis;Receiving-Targ;Receiving-Rec;Receiving-Rec%;Receiving-Prog;
be Antwerp;15;48.5;2.0;1123;157;428;501;261;36;1021;21;35;60.0;22;1;651;3605;1811;69;18;10;27;26;848;681;80.3;52
es Betis;23;50.0;2.0;1241;126;401;640;276;51;1157;10;19;52.6;10;0;870;4262;2102;88;21;12;13;30;935;868;92.8;44
pt Braga;20;61.5;2.0;1426;145;466;748;302;44;1317;13;19;68.4;14;0;851;4213;2573;97;33;11;31;22;1118;968;86.6;64
dk Brøndby;18;38.5;2.0;1014;176;453;464;160;15;928;9;22;40.9;11;1;590;2928;1493;50;16;5;22;18;741;585;78.9;37
sct Celtic;17;57.5;2.0;1431;153;457;680;405;54;1336;28;42;66.7;28;1;1016;5842;3280;121;41;9;27;21;1178;1026;87.1;68
hr Dinamo Zagreb;20;45.0;2.0;1154;149;437;599;210;26;1078;21;35;60.0;25;0;775;4235;2255;77;26;5;24;24;826;771;93.3;42
de Eint Frankfurt;20;57.5;2.0;1272;121;409;650;284;43;1175;21;34;61.8;22;1;676;3712;1992;88;29;6;36;15;949;778;82.0;72
tr Fenerbahçe;18;49.5;2.0;1170;87;313;608;317;50;1064;20;28;71.4;20;2;712;3619;2097;87;30;5;24;23;894;749;83.8;71
hu Ferencváros;16;37.0;2.0;1061;174;482;450;194;24;968;14;28;50.0;15;4;675;3579;1780;64;14;3;38;18;770;662;86.0;53
tr Galatasaray;18;44.5;2.0;1196;199;504;547;214;27;1112;14;33;42.4;15;2;783;3426;1736;64;17;4;31;12;904;800;88.5;58
be Genk;17;60.5;2.0;1410;108;344;763;415;67;1311;37;56;66.1;39;6;1005;5652;3062;129;33;9;31;26;1105;971;87.9;93
it Lazio;19;53.0;2.0;1392;130;416;749;311;57;1302;27;46;58.7;27;6;926;4716;2739;97;30;12;26;18;1159;1035;89.3;63
pl Legia Warsaw;18;41.5;2.0;1083;158;440;500;195;27;990;17;28;60.7;17;2;633;3086;1607;52;11;6;29;19;763;641;84.0;45
eng Leicester City;19;55.5;2.0;1323;134;375;678;347;52;1232;16;34;47.1;16;0;853;4376;2176;104;29;9;32;12;1065;918;86.2;65
de Leverkusen;19;56.0;2.0;1454;136;454;704;397;76;1382;18;29;62.1;19;4;1063;6152;3645;138;37;17;24;20;1171;1050;89.7;79
ru Loko Moscow;20;33.0;2.0;1003;194;494;442;122;21;914;25;46;54.3;31;2;633;3280;1814;45;12;6;27;21;713;610;85.6;41
bg Ludogorets;18;49.0;2.0;1131;184;495;527;171;17;1043;3;17;17.6;7;3;663;3155;1802;44;9;1;31;23;852;696;81.7;40
fr Lyon;19;62.0;2.0;1607;128;435;886;400;61;1516;23;41;56.1;24;3;1175;5575;2809;115;34;16;22;22;1315;1197;91.0;84
fr Marseille;17;69.5;2.0;1709;80;334;958;522;81;1615;22;45;48.9;22;2;1243;7097;3890;193;43;19;29;23;1461;1327;90.8;90
dk Midtjylland;17;50.0;2.0;1121;104;314;548;323;64;1024;28;56;50.0;33;2;674;3127;1722;72;21;10;21;32;855;699;81.8;80
fr Monaco;22;54.0;2.0;1379;128;443;697;335;52;1269;17;24;70.8;17;0;906;5137;2449;86;27;10;39;34;1051;933;88.8;68
it Napoli;19;51.0;2.0;1242;130;403;603;308;55;1135;15;23;65.2;15;1;790;4457;2494;100;21;11;21;22;918;840;91.5;60
gr Olympiacos;18;45.0;2.0;1060;129;364;527;235;44;960;17;28;60.7;19;1;620;3373;1811;69;25;6;18;13;770;665;86.4;58
nl PSV Eindhoven;20;60.5;2.0;1428;108;417;657;438;65;1310;28;55;50.9;32;1;989;4746;2550;107;26;11;19;23;1158;988;85.3;65
sct Rangers;17;51.5;2.0;1286;108;396;605;365;36;1174;20;35;57.1;22;3;845;4197;1977;64;23;3;40;23;1009;851;84.3;59
at Rapid Wien;18;46.0;2.0;1185;128;481;536;248;33;1091;19;31;61.3;20;3;718;3449;1960;78;31;7;30;27;870;713;82.0;45
es Real Sociedad;20;52.0;2.0;1271;152;417;709;225;34;1179;24;48;50.0;31;3;801;3951;2242;69;20;4;24;26;941;829;88.1;57
rs Red Star;19;39.5;2.0;1002;118;351;481;232;33;908;15;21;71.4;16;0;593;2877;1489;57;23;4;37;21;709;558;78.7;57
cz Sparta Prague;17;48.0;2.0;1184;134;446;524;272;38;1076;19;34;55.9;21;2;707;3261;1826;73;14;11;43;18;871;719;82.5;51
ru Spartak Moscow;18;52.0;2.0;1208;100;308;544;447;68;1109;15;25;60.0;17;3;819;4278;2347;102;40;13;23;29;934;815;87.3;83
at Sturm Graz;18;34.5;2.0;947;130;356;451;182;30;867;11;22;50.0;12;1;494;2486;1215;40;13;2;25;24;680;523;76.9;42
eng West Ham;19;49.0;2.0;1288;94;314;672;379;51;1187;14;32;43.8;17;0;851;4474;2134;78;29;7;31;33;1008;874;86.7;65