Squad;# Pl;90s;Standard-Gls;Standard-Sh;Standard-SoT;Standard-SoT%;Standard-Sh/90;Standard-SoT/90;Standard-G/Sh;Standard-G/SoT;Standard-Dist;Standard-FK;Standard-PK;Standard-PKatt;Expected-xG;Expected-npxG;Expected-npxG/Sh;Expected-G-xG;Expected-np:G-xG;
be Antwerp;15;2.0;1;28;5;17.9;14.00;2.50;0.04;0.20;18.6;0;0;0;2.0;2.0;0.07;-1.0;-1.0
es Betis;23;2.0;6;31;13;41.9;15.50;6.50;0.19;0.46;16.5;0;0;0;3.6;3.6;0.12;+2.4;+2.4
pt Braga;20;2.0;4;33;7;21.2;16.50;3.50;0.09;0.43;21.1;0;1;2;3.6;2.1;0.06;+0.4;+0.9
dk Brøndby;18;2.0;0;10;1;10.0;5.00;0.50;0.00;0.00;19.4;0;0;0;0.5;0.5;0.05;-0.5;-0.5
sct Celtic;17;2.0;3;33;12;36.4;16.50;6.00;0.06;0.17;17.4;1;1;1;3.8;3.0;0.09;-0.8;-1.0
hr Dinamo Zagreb;20;2.0;3;15;2;13.3;7.50;1.00;0.07;0.50;21.8;1;2;2;2.4;1.0;0.07;+0.6;0.0
de Eint Frankfurt;20;2.0;2;16;5;31.3;8.00;2.50;0.06;0.20;20.1;0;1;1;2.2;1.4;0.09;-0.2;-0.4
tr Fenerbahçe;18;2.0;1;27;7;25.9;13.50;3.50;0.04;0.14;16.4;0;0;1;3.7;3.0;0.12;-2.7;-2.0
hu Ferencváros;16;2.0;2;22;6;27.3;11.00;3.00;0.09;0.33;18.9;1;0;0;2.3;2.3;0.10;-0.3;-0.3
tr Galatasaray;18;2.0;0;19;3;15.8;9.50;1.50;0.00;0.00;19.9;0;0;0;1.1;1.1;0.06;-1.1;-1.1
be Genk;17;2.0;1;24;3;12.5;12.00;1.50;0.04;0.33;12.8;0;0;0;2.2;2.2;0.09;-1.2;-1.2
it Lazio;19;2.0;2;34;10;29.4;17.00;5.00;0.06;0.20;17.7;0;0;0;4.2;4.2;0.12;-2.2;-2.2
pl Legia Warsaw;18;2.0;2;17;6;35.3;8.50;3.00;0.12;0.33;17.6;0;0;0;2.5;2.5;0.15;-0.5;-0.5
eng Leicester City;19;2.0;2;25;8;32.0;12.50;4.00;0.08;0.25;15.0;1;0;0;2.6;2.6;0.11;-0.6;-0.6
de Leverkusen;19;2.0;6;39;18;46.2;19.50;9.00;0.13;0.28;17.3;1;1;1;4.8;4.2;0.11;+1.2;+0.8
ru Loko Moscow;20;2.0;1;17;5;29.4;8.50;2.50;0.06;0.20;17.9;0;0;0;0.7;0.7;0.04;+0.3;+0.3
bg Ludogorets;18;2.0;1;14;2;14.3;7.00;1.00;0.07;0.50;22.5;2;0;0;1.3;1.3;0.09;-0.3;-0.3
fr Lyon;19;2.0;4;38;11;28.9;19.00;5.50;0.11;0.36;16.5;2;0;0;4.8;4.8;0.13;-0.8;-0.8
fr Marseille;17;2.0;1;29;7;24.1;14.50;3.50;0.00;0.00;17.6;0;1;1;3.3;2.5;0.09;-2.3;-2.5
dk Midtjylland;17;2.0;2;23;6;26.1;11.50;3.00;0.04;0.17;16.0;1;1;1;2.7;1.9;0.08;-0.7;-0.9
fr Monaco;22;2.0;2;22;6;27.3;11.00;3.00;0.09;0.33;14.6;0;0;0;2.1;2.1;0.10;-0.1;-0.1
it Napoli;19;2.0;4;33;10;30.3;16.50;5.00;0.12;0.40;15.3;2;0;0;4.5;4.5;0.14;-0.5;-0.5
gr Olympiacos;18;2.0;5;22;12;54.5;11.00;6.00;0.23;0.42;13.1;0;0;0;2.8;2.8;0.13;+2.2;+2.2
nl PSV Eindhoven;20;2.0;6;32;14;43.8;16.00;7.00;0.19;0.43;16.9;2;0;0;3.6;3.6;0.11;+2.4;+2.4
sct Rangers;17;2.0;0;17;5;29.4;8.50;2.50;0.00;0.00;18.6;1;0;0;0.9;0.9;0.05;-0.9;-0.9
at Rapid Wien;18;2.0;0;21;5;23.8;10.50;2.50;0.00;0.00;20.7;0;0;0;0.9;0.9;0.04;-0.9;-0.9
es Real Sociedad;20;2.0;3;21;7;33.3;10.50;3.50;0.14;0.43;15.3;1;0;0;2.2;2.2;0.10;+0.8;+0.8
rs Red Star;19;2.0;3;28;9;32.1;14.00;4.50;0.07;0.22;21.5;1;1;1;2.7;2.0;0.07;+0.3;0.0
cz Sparta Prague;17;2.0;1;21;9;42.9;10.50;4.50;0.05;0.11;17.5;0;0;0;2.3;2.3;0.11;-1.3;-1.3
ru Spartak Moscow;18;2.0;3;38;6;15.8;19.00;3.00;0.08;0.50;15.9;1;0;0;3.8;3.8;0.10;-0.8;-0.8
at Sturm Graz;18;2.0;1;18;5;27.8;9.00;2.50;0.06;0.20;18.7;0;0;0;1.3;1.3;0.07;-0.3;-0.3
eng West Ham;19;2.0;4;28;9;32.1;14.00;4.50;0.14;0.44;16.1;0;0;0;3.9;3.9;0.14;+0.1;+0.1