Squad;# Pl;90s;Total-Cmp;Total-Att;Total-Cmp%;Total-TotDist;Total-PrgDist;Short-Cmp;Short-Att;Short-Cmp%;Medium-Cmp;Medium-Att;Medium-Cmp%;Long-Cmp;Long-Att;Long-Cmp%;Ast;xA;A-xA;KP;1/3;PPA;CrsPA;Prog;
Arminia;16;2.0;463;689;67.2;11431;4746;131;161;81.4;206;267;77.2;114;226;50.4;1;0.7;+0.3;10;39;9;2;35
Augsburg;19;2.0;509;730;69.7;10989;4477;193;226;85.4;211;273;77.3;97;195;49.7;0;0.6;-0.6;7;33;16;3;39
Bayern Munich;18;2.0;1053;1264;83.3;21139;7442;383;441;86.8;497;558;89.1;154;218;70.6;3;3.6;-0.6;27;77;21;6;106
Bochum;19;2.0;528;739;71.4;12228;4546;186;227;81.9;208;264;78.8;129;225;57.3;2;1.1;+0.9;10;30;5;1;28
Dortmund;22;3.0;1694;1978;85.6;31968;10494;667;744;89.7;764;830;92.0;218;315;69.2;6;6.7;-0.7;45;127;41;12;154
Eint Frankfurt;17;2.0;739;968;76.3;14821;5434;288;338;85.2;314;384;81.8;121;198;61.1;1;2.3;-1.3;19;61;16;7;83
Freiburg;19;2.0;508;693;73.3;10998;4650;187;225;83.1;202;245;82.4;103;185;55.7;1;2.1;-1.1;15;31;10;5;38
Greuther Fürth;17;2.0;748;912;82.0;15996;4986;244;277;88.1;366;404;90.6;131;208;63.0;1;1.6;-0.6;17;41;15;4;59
Hertha BSC;19;2.0;527;697;75.6;10711;3850;201;240;83.8;226;263;85.9;93;171;54.4;1;1.3;-0.3;15;20;7;2;40
Hoffenheim;17;3.0;1207;1519;79.5;22889;7770;493;563;87.6;536;618;86.7;154;281;54.8;8;4.5;+3.5;20;65;16;6;92
Köln;18;2.0;721;944;76.4;15525;5742;220;269;81.8;341;394;86.5;148;228;64.9;5;2.0;+3.0;20;43;17;8;71
Leverkusen;16;2.0;959;1136;84.4;19384;5842;364;395;92.2;412;465;88.6;166;236;70.3;4;1.9;+2.1;19;56;18;2;61
M'Gladbach;17;2.0;707;878;80.5;13490;5028;305;345;88.4;287;330;87.0;99;171;57.9;1;2.3;-1.3;15;45;22;8;63
Mainz 05;19;2.0;524;768;68.2;10053;3851;210;260;80.8;235;296;79.4;68;177;38.4;0;0.9;-0.9;13;43;7;3;38
RB Leipzig;19;2.0;967;1165;83.0;18372;5210;395;449;88.0;422;473;89.2;130;206;63.1;1;2.6;-1.6;26;93;29;9;81
Stuttgart;18;2.0;972;1152;84.4;18046;5901;443;494;89.7;390;438;89.0;129;178;72.5;5;4.2;+0.8;32;70;27;8;80
Union Berlin;17;2.0;517;716;72.2;10963;4675;184;227;81.1;224;281;79.7;99;176;56.3;1;1.3;-0.3;15;38;11;3;44
Wolfsburg;17;2.0;935;1130;82.7;19252;5599;311;353;88.1;477;528;90.3;139;214;65.0;3;3.1;-0.1;23;87;18;8;93