Squad;# Pl;90s;GA;PKA;FK;CK;OG;PSxG;PSxG/SoT;PSxG+/-;/90;Cmp;AttLaunched;Cmp%;AttPass;Thr;PassLaunch%;AvgLenPass;AttGks;GksLaunch%;AvgLenGks;Att;Stp;Stp%;#OPA;#OPA/90;AvgDist
ADO Den Haag;3;26.0;54;5;;;;;;;;;;;;;;;;;;;;;;;
Ajax;2;25.0;23;2;;;;;;;;;;;;;;;;;;;;;;;
AZ Alkmaar;2;25.0;17;2;;;;;;;;;;;;;;;;;;;;;;;
Emmen;1;26.0;45;3;;;;;;;;;;;;;;;;;;;;;;;
Feyenoord;3;25.0;35;3;;;;;;;;;;;;;;;;;;;;;;;
Fortuna Sittard;1;26.0;52;9;;;;;;;;;;;;;;;;;;;;;;;
Groningen;1;26.0;26;3;;;;;;;;;;;;;;;;;;;;;;;
Heerenveen;2;26.0;41;6;;;;;;;;;;;;;;;;;;;;;;;
Heracles Almelo;1;26.0;34;3;;;;;;;;;;;;;;;;;;;;;;;
PSV Eindhoven;3;26.0;28;3;;;;;;;;;;;;;;;;;;;;;;;
RKC Waalwijk;2;26.0;60;4;;;;;;;;;;;;;;;;;;;;;;;
Sparta R'dam;2;26.0;45;7;;;;;;;;;;;;;;;;;;;;;;;
Twente;2;26.0;46;0;;;;;;;;;;;;;;;;;;;;;;;
Utrecht;2;25.0;34;3;;;;;;;;;;;;;;;;;;;;;;;
Vitesse;1;26.0;35;8;;;;;;;;;;;;;;;;;;;;;;;
VVV-Venlo;1;26.0;51;4;;;;;;;;;;;;;;;;;;;;;;;
Willem II;2;26.0;34;4;;;;;;;;;;;;;;;;;;;;;;;
Zwolle;2;26.0;55;5;;;;;;;;;;;;;;;;;;;;;;;